event_id,event_type,customer_id,endpoint_id,attempt_number,http_status,response_time_ms,timeout,signature_valid
evt_time_001,payment.succeeded,cust_001,end_001,1,504,5000.0,true,true
evt_time_001,payment.succeeded,cust_001,end_001,2,504,5000.0,true,true
evt_time_002,invoice.created,cust_002,end_002,1,504,5000.0,true,true
evt_time_003,order.placed,cust_003,end_003,1,200,250.0,false,true
evt_time_004,customer.created,cust_001,end_001,1,504,5000.0,true,true
evt_time_005,payment.succeeded,cust_004,end_004,1,504,5000.0,true,true
evt_time_005,payment.succeeded,cust_004,end_004,2,200,300.0,false,true
evt_time_006,invoice.paid,cust_002,end_002,1,504,5000.0,true,true
evt_time_007,order.fulfilled,cust_003,end_003,1,504,5000.0,true,true
evt_time_008,payment.failed,cust_004,end_004,1,504,5000.0,true,true
